LAT,LONG,DMS_LAT,DMS_LONG,FC,DSG,PC,CC1,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD
25.397369,56.269639,25:23:51N,56:16:11E,H,FLLS,,AE,D,,,,WURAYAHWATERFALL,Wurayah Waterfall,Wurayah Waterfall,WURAYAHWATERFALL,Wurayah Waterfall,Wurayah Waterfall,,27/07/2011,12,1,,
41.084935,47.957438,41:05:06N,47:57:27E,H,FLLS,,AJ,N,aze,,Şəlalə,MICIXCAZARSALALASI,Mıcıxçazar Şəlaləsı,Micixcazar Salalasi,MICIXCAZARSALALASI,Mıcıxçazar Şəlaləsı,Micixcazar Salalasi,,03/02/2014,1,1,,
41.084935,47.957438,41:05:06N,47:57:27E,H,FLLS,,AJ,V,rus,,Vodopad,VODOPADMECHEKHCHADAUR,Vodopad Mechekhchadaur,Vodopad Mechekhchadaur,MECHEKHCHADAUR VODOPAD,"Mechekhchadaur, Vodopad","Mechekhchadaur, Vodopad",,03/02/2014,1,,,rus_Cyrl2Latn_BGN_1947
40.346735,46.638396,40:20:48N,46:38:18E,H,FLLS,,AJ,D,hye,,,JRVZHTIK,Jrvzhtik,Jrvzhtik,JRVZHTIK,Jrvzhtik,Jrvzhtik,,20/11/2013,12345,1,14509024,hye_Armn2Latn_BGN_1981
40.346735,46.638396,40:20:48N,46:38:18E,H,FLLS,,AJ,DS,hye,,,Ձրվժտիկ,Ձրվժտիկ,Ձրվժտիկ,Ձրվժտիկ,Ձրվժտիկ,Ձրվժտիկ,,20/11/2013,12345,,14509023,
39.552917,46.995911,39:33:11N,46:59:45E,H,FLLS,,AJ,D,hye,,,SHAKII,Shak’ii,Shak'ii,SHAKII,Shak’ii,Shak'ii,,07/11/2016,12,1,17835738,hye_Armn2Latn_BGN_1981
39.552917,46.995911,39:33:11N,46:59:45E,H,FLLS,,AJ,DS,hye,,,Շաքիի,Շաքիի,Շաքիի,Շաքիի,Շաքիի,Շաքիի,,07/11/2016,12,,17835508,
39.044495,46.023682,39:02:40N,46:01:25E,H,FLLS,,AJ,D,hye,,,JRER,Jrer,Jrer,JRER,Jrer,Jrer,,06/10/2016,12,1,17577553,hye_Armn2Latn_BGN_1981
39.044495,46.023682,39:02:40N,46:01:25E,H,FLLS,,AJ,DS,hye,,,Ջրեր,Ջրեր,Ջրեր,Ջրեր,Ջրեր,Ջրեր,,06/10/2016,12,,17577192,
39.583333,46.033333,39:35:00N,46:02:00E,H,FLLS,,AM,D,rus,,Vodopad,SHAKINSKIYVODOPAD,Shakinskiy Vodopad,Shakinskiy Vodopad,SHAKINSKIYVODOPAD,Shakinskiy Vodopad,Shakinskiy Vodopad,,01/04/2003,12345,1,,rus_Cyrl2Latn_BGN_1947
39.931885,45.011108,39:55:55N,45:00:40E,H,FLLS,,AM,N,hye,,,CHYRRCHRRIK,Ch’yrrch’rrik,Ch'yrrch'rrik,CHYRRCHRRIK,Ch’yrrch’rrik,Ch'yrrch'rrik,,24/06/2015,12,1,16228617,hye_Armn2Latn_BGN_1981
39.931885,45.011108,39:55:55N,45:00:40E,H,FLLS,,AM,NS,hye,,,Չըռչռիկ,Չըռչռիկ,Չըռչռիկ,Չըռչռիկ,Չըռչռիկ,Չըռչռիկ,,24/06/2015,12,,16201188,
39.832774,45.668123,39:49:58N,45:40:05E,H,FLLS,,AM,D,rus,,,DZHERMUKSKIYVODOPAD,Dzhermukskiy Vodopad,Dzhermukskiy Vodopad,DZHERMUKSKIYVODOPAD,Dzhermukskiy Vodopad,Dzhermukskiy Vodopad,,10/08/2015,12345,1,,rus_Cyrl2Latn_BGN_1947
39.552917,45.488892,39:33:11N,45:29:20E,H,FLLS,,AM,NS,hye,,,Կարմիրքարափ,Կարմիր քարափ,Կարմիր քարափ,Կարմիրքարափ,Կարմիր քարափ,Կարմիր քարափ,,24/07/2015,12,,16400797,
39.552917,45.488892,39:33:11N,45:29:20E,H,FLLS,,AM,N,hye,,,KARMIRKARAP,Karmir K’arap’,Karmir K'arap',KARMIRKARAP,Karmir K’arap’,Karmir K'arap',,24/07/2015,12,1,16401657,hye_Armn2Latn_BGN_1981
39.934692,45.516724,39:56:05N,45:31:00E,H,FLLS,,AM,NS,hye,,,Սոխուտ,Սոխուտ,Սոխուտ,Սոխուտ,Սոխուտ,Սոխուտ,,27/07/2015,12,,16441738,
39.934692,45.516724,39:56:05N,45:31:00E,H,FLLS,,AM,N,hye,,,SOKHUT,Sokhut,Sokhut,SOKHUT,Sokhut,Sokhut,,27/07/2015,12,1,16442838,hye_Armn2Latn_BGN_1981
39.841309,45.668091,39:50:29N,45:40:05E,H,FLLS,,AM,N,hye,,,JERMUKI,Jermuki,Jermuki,JERMUKI,Jermuki,Jermuki,,10/08/2015,12,1,16442957,hye_Armn2Latn_BGN_1981
39.841309,45.668091,39:50:29N,45:40:05E,H,FLLS,,AM,NS,hye,,,Ջերմուկի,Ջերմուկի,Ջերմուկի,Ջերմուկի,Ջերմուկի,Ջերմուկի,,10/08/2015,12,,16441858,
39.64032,45.223694,39:38:25N,45:13:25E,H,FLLS,,AM,NS,hye,,,Շռան,Շռան,Շռան,Շռան,Շռան,Շռան,,27/07/2015,12,,16394520,
39.64032,45.223694,39:38:25N,45:13:25E,H,FLLS,,AM,N,hye,,,SHRRAN,Shrran,Shrran,SHRRAN,Shrran,Shrran,,27/07/2015,12,1,16394028,hye_Armn2Latn_BGN_1981
40.069519,45.258484,40:04:10N,45:15:31E,H,FLLS,,AM,N,hye,,,CHRRANNER,Ch’rranner,Ch'rranner,CHRRANNER,Ch’rranner,Ch'rranner,,31/07/2015,12,1,16522789,hye_Armn2Latn_BGN_1981
40.069519,45.258484,40:04:10N,45:15:31E,H,FLLS,,AM,NS,hye,,,Չռաններ,Չռաններ,Չռաններ,Չռաններ,Չռաններ,Չռաններ,,31/07/2015,12,,16522235,
